id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small
5469,3.0,2.0,0.0,155.0,307.0,1,3.0,1,19.485371,-99.07682,07530,campestre aragón,3600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,23225.8064516129,3.6,0.0232258064516129
7824,3.0,2.0,0.0,100.0,100.0,6,1.0,6,19.396671,-99.17695,03810,napoles,6130000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,61300.0,6.13,0.0613
26258,2.0,1.0,0.0,71.0,62.0,0,1.0,0,19.410715,-99.145956,06720,,2798772.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,39419.32394366197,2.798772,0.03941932394366197
7919,2.0,2.0,0.0,110.0,110.0,1,1.0,1,19.359266,-99.16226,03340,general pedro maria anaya,5600000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,50909.09090909091,5.6,0.05090909090909091
37686,2.0,1.0,0.0,69.0,69.0,15,1.0,15,19.391896,-99.140265,03410,postal,3101438.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44948.3768115942,3.101438,0.0449483768115942
26735,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2160353.75,False,False,False,True,False,False,False,True,False,False,True,False,True,False,34291.329365079364,2.16035375,0.034291329365079365
4500,2.0,2.0,1.0,149.0,149.0,10,1.0,10,19.434553,-99.16973,06500,cuauhtémoc,8900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,59731.54362416107,8.9,0.059731543624161075
25924,2.0,2.0,0.0,76.0,76.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,4981800.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,65550.0,4.9818,0.06555
8168,2.0,2.0,0.0,62.0,62.0,3,1.0,3,19.383,-99.198348,01180,carola,3000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48387.096774193546,3.0,0.04838709677419355
2277,3.0,2.0,1.0,300.0,300.0,41,1.0,41,19.433581,-99.187082,11560,polanco v sección,16500000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,55000.0,16.5,0.055
2845,3.0,3.0,1.0,390.0,390.0,12,1.0,12,19.35946,-99.28166,05348,santa fe cuajimalpa,26000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,66666.66666666667,26.0,0.06666666666666667
27386,2.0,2.0,0.0,121.0,121.0,0,1.0,0,19.375377,-99.139438,03540,,3501400.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,28937.19008264463,3.5014,0.02893719008264463
26311,2.0,2.0,0.0,60.0,60.0,0,1.0,0,19.456169,-99.194181,11410,tacuba,2229700.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,37161.666666666664,2.2297,0.03716166666666666
25944,2.0,2.0,0.0,109.0,109.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,7224913.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,66283.60550458716,7.224913,0.06628360550458716
5068,2.0,2.0,0.0,67.0,67.0,1,1.0,1,19.387966,-99.13923,03430,josefa ortiz de domínguez,2819274.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,42078.71641791045,2.819274,0.04207871641791045
26139,2.0,2.0,0.0,180.0,109.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,8275415.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45974.52777777778,8.275415,0.04597452777777778
26439,2.0,2.0,0.0,78.0,78.0,1,1.0,1,19.359115,-99.195348,01010,los alpes,5324800.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,68266.66666666667,5.3248,0.06826666666666667
25753,2.0,2.0,0.0,74.0,67.0,0,1.0,0,19.385581,-99.141016,03500,nativitas,3435040.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,46419.45945945946,3.43504,0.04641945945945946
7054,2.0,1.0,0.0,79.0,79.0,1,1.0,1,19.405975,-99.136005,06850,asturias,2642480.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33449.11392405063,2.64248,0.03344911392405063
426,1.0,1.0,0.0,61.0,61.0,1,1.0,1,19.3611703,-99.1518853,03300,portales norte,2980000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,48852.45901639344,2.98,0.04885245901639344
7624,3.0,3.0,1.0,190.0,190.0,1,1.0,1,19.347194,-99.25634,05600,san mateo tlaltenango,11620000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,61157.89473684211,11.62,0.061157894736842106
27456,2.0,2.0,0.0,93.0,87.0,0,1.0,0,19.392558,-99.267487,05100,lomas de vista hermosa,5185750.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,55760.75268817204,5.18575,0.055760752688172044
27685,2.0,2.0,0.0,78.0,75.0,0,1.0,0,19.411563,-99.162724,06760,roma sur,4499040.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,57680.0,4.49904,0.05768
8407,3.0,5.0,4.0,480.0,601.0,20,3.0,20,19.340399,-99.25493,01810,villa verdún,14900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31041.666666666668,14.9,0.03104166666666667
